game_id,home_team_id,home_team_name,away_team_id,away_team_name,prediction,winner,date
0022400061,1610612738,Boston Celtics,1610612752,New York Knicks,0.34,0,10-22-2024
0022400062,1610612747,Los Angeles Lakers,1610612750,Minnesota Timberwolves,0.49,0,10-22-2024
0022400063,1610612765,Detroit Pistons,1610612754,Indiana Pacers,0.64,1,10-23-2024
0022400067,1610612761,Toronto Raptors,1610612739,Cleveland Cavaliers,0.47,1,10-23-2024
0022400066,1610612755,Philadelphia 76ers,1610612749,Milwaukee Bucks,0.44,1,10-23-2024
0022400065,1610612748,Miami Heat,1610612753,Orlando Magic,0.44,1,10-23-2024
0022400064,1610612737,Atlanta Hawks,1610612751,Brooklyn Nets,0.4,0,10-23-2024
0022400069,1610612740,New Orleans Pelicans,1610612741,Chicago Bulls,0.37,0,10-23-2024
0022400068,1610612745,Houston Rockets,1610612766,Charlotte Hornets,0.31,1,10-23-2024
0022400070,1610612762,Utah Jazz,1610612763,Memphis Grizzlies,0.4,1,10-23-2024
0022400072,1610612757,Portland Trail Blazers,1610612744,Golden State Warriors,0.59,1,10-23-2024
0022400071,1610612746,Los Angeles Clippers,1610612756,Phoenix Suns,0.42,1,10-23-2024
0022400073,1610612764,Washington Wizards,1610612738,Boston Celtics,0.73,1,10-24-2024
0022400074,1610612742,Dallas Mavericks,1610612759,San Antonio Spurs,0.27,0,10-24-2024
0022400076,1610612758,Sacramento Kings,1610612750,Minnesota Timberwolves,0.49,1,10-24-2024
0022400075,1610612743,Denver Nuggets,1610612760,Oklahoma City Thunder,0.43,1,10-24-2024
0022400078,1610612761,Toronto Raptors,1610612755,Philadelphia 76ers,0.55,0,10-25-2024
0022400077,1610612753,Orlando Magic,1610612751,Brooklyn Nets,0.18,0,10-25-2024
0022400081,1610612752,New York Knicks,1610612754,Indiana Pacers,0.85,0,10-25-2024
0022400080,1610612739,Cleveland Cavaliers,1610612765,Detroit Pistons,0.13,0,10-25-2024
0022400079,1610612737,Atlanta Hawks,1610612766,Charlotte Hornets,0.19,0,10-25-2024
0022400083,1610612749,Milwaukee Bucks,1610612741,Chicago Bulls,0.02,1,10-25-2024
0022400082,1610612745,Houston Rockets,1610612763,Memphis Grizzlies,0.1,0,10-25-2024
0022400084,1610612762,Utah Jazz,1610612744,Golden State Warriors,0.57,1,10-25-2024
0022400086,1610612757,Portland Trail Blazers,1610612740,New Orleans Pelicans,0.99,1,10-25-2024
0022400085,1610612747,Los Angeles Lakers,1610612756,Phoenix Suns,0.58,0,10-25-2024
0022400087,1610612743,Denver Nuggets,1610612746,Los Angeles Clippers,0.39,1,10-26-2024
0022400090,1610612764,Washington Wizards,1610612739,Cleveland Cavaliers,0.64,1,10-26-2024
0022400089,1610612765,Detroit Pistons,1610612738,Boston Celtics,0.96,1,10-26-2024
0022400088,1610612766,Charlotte Hornets,1610612748,Miami Heat,0.58,1,10-26-2024
0022400093,1610612750,Minnesota Timberwolves,1610612761,Toronto Raptors,0.27,0,10-26-2024
0022400092,1610612763,Memphis Grizzlies,1610612753,Orlando Magic,0.86,0,10-26-2024
0022400091,1610612741,Chicago Bulls,1610612760,Oklahoma City Thunder,0.55,1,10-26-2024
0022400094,1610612759,San Antonio Spurs,1610612745,Houston Rockets,0.55,0,10-26-2024
0022400095,1610612756,Phoenix Suns,1610612742,Dallas Mavericks,0.44,0,10-26-2024
0022400096,1610612747,Los Angeles Lakers,1610612758,Sacramento Kings,0.42,0,10-26-2024
0022400097,1610612754,Indiana Pacers,1610612755,Philadelphia 76ers,0.34,1,10-27-2024
0022400099,1610612757,Portland Trail Blazers,1610612740,New Orleans Pelicans,0.99,0,10-27-2024
0022400098,1610612751,Brooklyn Nets,1610612749,Milwaukee Bucks,0.72,0,10-27-2024
0022400100,1610612760,Oklahoma City Thunder,1610612737,Atlanta Hawks,0.3,0,10-27-2024
0022400101,1610612744,Golden State Warriors,1610612746,Los Angeles Clippers,0.08,1,10-27-2024
0022400102,1610612753,Orlando Magic,1610612754,Indiana Pacers,0.33,0,10-28-2024
0022400107,1610612761,Toronto Raptors,1610612743,Denver Nuggets,0.53,1,10-28-2024
0022400106,1610612752,New York Knicks,1610612739,Cleveland Cavaliers,0.92,1,10-28-2024
0022400105,1610612748,Miami Heat,1610612765,Detroit Pistons,0.33,0,10-28-2024
0022400104,1610612738,Boston Celtics,1610612749,Milwaukee Bucks,0.09,0,10-28-2024
0022400103,1610612737,Atlanta Hawks,1610612764,Washington Wizards,0.3,1,10-28-2024
0022400109,1610612759,San Antonio Spurs,1610612745,Houston Rockets,0.55,1,10-28-2024
0022400108,1610612763,Memphis Grizzlies,1610612741,Chicago Bulls,0.18,1,10-28-2024
0022400110,1610612742,Dallas Mavericks,1610612762,Utah Jazz,0.31,0,10-28-2024
0022400112,1610612758,Sacramento Kings,1610612757,Portland Trail Blazers,0.28,0,10-28-2024
0022400111,1610612756,Phoenix Suns,1610612747,Los Angeles Lakers,0.29,0,10-28-2024
0022400114,1610612750,Minnesota Timberwolves,1610612742,Dallas Mavericks,0.48,1,10-29-2024
0022400113,1610612751,Brooklyn Nets,1610612743,Denver Nuggets,0.74,1,10-29-2024
0022400115,1610612762,Utah Jazz,1610612758,Sacramento Kings,0.67,1,10-29-2024
0022400116,1610612744,Golden State Warriors,1610612740,New Orleans Pelicans,0.42,0,10-29-2024
0022400121,1610612764,Washington Wizards,1610612737,Atlanta Hawks,0.62,0,10-30-2024
0022400120,1610612755,Philadelphia 76ers,1610612765,Detroit Pistons,0.19,1,10-30-2024
0022400119,1610612754,Indiana Pacers,1610612738,Boston Celtics,0.88,0,10-30-2024
0022400118,1610612739,Cleveland Cavaliers,1610612747,Los Angeles Lakers,0.42,0,10-30-2024
0022400117,1610612766,Charlotte Hornets,1610612761,Toronto Raptors,0.54,0,10-30-2024
0022400122,1610612748,Miami Heat,1610612752,New York Knicks,0.42,1,10-30-2024
0022400124,1610612763,Memphis Grizzlies,1610612751,Brooklyn Nets,0.48,1,10-30-2024
0022400123,1610612741,Chicago Bulls,1610612753,Orlando Magic,0.65,0,10-30-2024
